Floor Date,Days on Floor,Last Paid,Floorplan Status,Vehicle Status,Vehicle Description,Odometer,VIN,Stock #,Title Status,Due Date,Source,Principal Balance + One Day Loan,Fee,Interest,Cltrl. Prtctn.,Other,Total
07/20/2016,8,,Approved,In Stock,2015 Lexus RX 350 Crafted Line,16,2T2BK1BA4FC329065,974,File Room,09/19/2016,,"$27,000.00 ",$110.00 ,$37.78 ,$0.00 ,$168.00 ,"$27,315.78 "
07/20/2016,8,,Approved,In Stock,2015 Lexus RX 350 Crafted Line,"15,167",2T2BK1BAXFC270085,975,File Room,09/19/2016,,"$27,000.00 ",$110.00 ,$37.78 ,$0.00 ,$168.00 ,"$27,315.78 "
07/21/2016,7,,Approved,In Stock,2013 Dodge Challenger R/T,"22,100",2C3CDYBT8DH619474,976,File Room,09/19/2016,United Auto Body & Paint AKA United Auto Body & Paint Inc.,"$16,300.00 ",$110.00 ,$20.09 ,$0.00 ,$168.00 ,"$16,598.09 "
07/22/2016,6,,Approved,In Stock,2012 Dodge Challenger R/T,0,2C3CDYBT4CH142864,977,File Room,09/20/2016,Moda Cars LLC,"$13,000.00 ",$110.00 ,$13.79 ,$0.00 ,$168.00 ,"$13,291.79 "
07/25/2016,3,,Approved,In Stock,2016 Acura MDX SH-AWD Advance,"10,010",5FRYD4H94GB023714,978,At Source,09/23/2016,,"$34,000.00 ",$110.00 ,$17.79 ,$0.00 ,$168.00 ,"$34,295.79 "
07/25/2016,3,,Approved,In Stock,2013 Mazda Mazda3 i Grand Touring,"40,097",JM1BL1MP7D1794170,979,At Source,09/23/2016,,"$9,500.00 ",$110.00 ,$5.08 ,$0.00 ,$168.00 ,"$9,783.08 "
07/25/2016,3,,Approved,In Stock,2015 Infiniti Q70 3.7,0,JN1BY1AR8FM560972,980,File Room,09/23/2016,Moda Cars LLC,"$33,000.00 ",$110.00 ,$17.27 ,$0.00 ,$168.00 ,"$33,295.27 "
07/25/2016,3,,Approved,In Stock,2010 Toyota Tacoma SR5,0,3TMLU4EN2AM050667,981,File Room,09/23/2016,Moda Cars LLC,"$15,000.00 ",$110.00 ,$7.93 ,$0.00 ,$168.00 ,"$15,285.93 "
07/25/2016,3,,Approved,In Stock,2012 GMC Acadia SLT,0,1GKKVRED6CJ255765,982,File Room,09/23/2016,Moda Cars LLC,"$14,500.00 ",$110.00 ,$7.67 ,$0.00 ,$168.00 ,"$14,785.67 "
07/25/2016,3,,Approved,In Stock,2015 Ford Fusion SE,0,1FA6P0HD8F5113435,983,File Room,09/23/2016,Moda Cars LLC,"$12,000.00 ",$110.00 ,$6.37 ,$0.00 ,$168.00 ,"$12,284.37 "
07/25/2016,3,,Approved,In Stock,2014 Cadillac ATS Luxury,0,1G6AB5RX5E0111360,984,File Room,09/23/2016,Moda Cars LLC,"$14,000.00 ",$110.00 ,$7.41 ,$0.00 ,$168.00 ,"$14,285.41 "
07/25/2016,3,,Approved,In Stock,2014 Honda Odyssey Touring,0,5FNRL5H94EB106748,985,File Room,09/23/2016,Moda Cars LLC,"$22,500.00 ",$110.00 ,$11.82 ,$0.00 ,$168.00 ,"$22,789.82 "
07/26/2016,2,,Approved,In Stock,2014 Lincoln MKZ,"43,975",3LN6L2GK2ER805652,986,File Room,09/26/2016,King Star Auto,"$13,500.00 ",$110.00 ,$4.77 ,$0.00 ,$168.00 ,"$13,782.77 "
07/26/2016,2,,Approved,In Stock,2015 Nissan Frontier S,"3,759",1N6AD0EVXFN763262,987,File Room,09/26/2016,King Star Auto,"$17,500.00 ",$110.00 ,$6.15 ,$0.00 ,$168.00 ,"$17,784.15 "
07/26/2016,2,,Approved,In Stock,2015 Ford Explorer Sport,"9,640",1FM5K8GT8FGB80306,988,File Room,09/26/2016,King Star Auto,"$28,000.00 ",$110.00 ,$9.79 ,$0.00 ,$168.00 ,"$28,287.79 "
,,,,,,,,,,,,,,,,,
